index,lat,lon,unit,dataset,datetime,subset,Dinophysis acuminata,Karenia mikimotoi,Chaetoceros,Dinophysis,Alexandrium minutum,Pseudo-nitzschia,total plankton
33008,43.0873189621,5.9064212393,Nombre par litre,MED,1987-01-07 10:00:00,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30414,43.38281552,4.8792288294,Nombre par litre,MED,1987-01-20 10:00:00,test,0.0,0.0,100.0,0.0,0.0,0.0,100.0
35172,42.134664825,9.5406780702,Nombre par litre,MED,1987-01-21 13:00:00,val,0.0,100.0,0.0,0.0,0.0,0.0,100.0
36633,42.0768824658,9.7958493007,Nombre par litre,MED,1987-02-02 09:00:00,val,0.0,100.0,0.0,0.0,0.0,0.0,100.0
35174,42.134664825,9.5406780702,Nombre par litre,MED,1987-02-02 14:00:00,val,0.0,500.0,100.0,0.0,0.0,0.0,600.0
30416,43.38281552,4.8792288294,Nombre par litre,MED,1987-02-05 10:00:00,test,0.0,0.0,3200.0,0.0,0.0,0.0,3200.0
33009,43.0873189621,5.9064212393,Nombre par litre,MED,1987-02-18 11:00:00,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30418,43.38281552,4.8792288294,Nombre par litre,MED,1987-02-23 10:00:00,test,0.0,0.0,1700.0,0.0,0.0,0.0,1700.0
30420,43.38281552,4.8792288294,Nombre par litre,MED,1987-03-09 10:00:00,test,0.0,0.0,2900.0,0.0,0.0,0.0,2900.0
33010,43.0873189621,5.9064212393,Nombre par litre,MED,1987-03-19 11:00:00,test,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0
30422,43.38281552,4.8792288294,Nombre par litre,MED,1987-03-23 11:00:00,test,0.0,0.0,4000.0,0.0,0.0,0.0,4000.0
35177,42.134664825,9.5406780702,Nombre par litre,MED,1987-03-30 10:00:00,val,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36635,42.0768824658,9.7958493007,Nombre par litre,MED,1987-03-30 13:00:00,val,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0
32258,43.4129855772,5.1634005918,Nombre par litre,MED,1987-03-31 09:00:00,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16135,43.4343047641,3.6645374015,Nombre par litre,MED,1987-04-06 10:00:00,train,0.0,0.0,2500000.0,0.0,0.0,0.0,2500000.0
19301,43.3776359209,3.5668698951,Nombre par litre,MED,1987-04-06 11:00:00,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32259,43.4129855772,5.1634005918,Nombre par litre,MED,1987-04-10 10:00:00,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30424,43.38281552,4.8792288294,Nombre par litre,MED,1987-04-10 10:30:00,test,0.0,0.0,1200.0,0.0,0.0,0.0,1200.0
